,date,빈폴,빈폴_absolute
1742,2023-10-09,7.55381,6511.775446374401
1743,2023-10-10,6.46243,5570.949361701357
1744,2023-10-11,6.3186,5446.960452468528
1745,2023-10-12,5.85556,5047.795990734753
1746,2023-10-13,5.7092,4921.62609046835
1747,2023-10-14,6.18738,5333.842016331897
1748,2023-10-15,6.86113,5914.649411142563
1749,2023-10-16,6.68954,5766.729944165847
1750,2023-10-17,6.43341,5545.932618699641
1751,2023-10-18,6.30598,5436.081358854412
1752,2023-10-19,6.37033,5491.5543916649
1753,2023-10-20,6.57094,5664.4906016433315
1754,2023-10-21,7.00623,6039.733126151138
