,date,타미힐피거,타미힐피거_absolute
1468,2023-01-08,7.03651,6065.83605441068
1469,2023-01-09,5.90476,5090.208938897551
1470,2023-01-10,5.27013,4543.125010187061
1471,2023-01-11,5.30671,4574.658864735742
1472,2023-01-12,5.17171,4458.281872825628
1473,2023-01-13,5.84799,5041.270258669868
1474,2023-01-14,6.15963,5309.920079105928
1475,2023-01-15,6.8788,5929.881866305908
1476,2023-01-16,5.20956,4490.910533150056
1477,2023-01-17,5.03293,4338.64632514203
1478,2023-01-18,5.01652,4324.500055236511
1479,2023-01-19,4.7175,4066.729328414567
1480,2023-01-20,4.76418,4106.969906061709
1481,2023-01-21,5.16793,4455.023317052145
1482,2023-01-22,5.37611,4634.485259095461
1483,2023-01-23,7.02642,6057.137951830139
1484,2023-01-24,7.84526,6763.02044113146
1485,2023-01-25,6.07509,5237.042220616439
1486,2023-01-26,5.9035,5089.122753639724
1487,2023-01-27,5.32059,4586.624143607686
1488,2023-01-28,6.10033,5258.80040784467
1489,2023-01-29,6.7173,5790.660501909734
1490,2023-01-30,5.68649,4902.048894273694
1491,2023-01-31,5.12377,4416.955109920658
1492,2023-02-01,5.74957,4956.427121308435
1493,2023-02-02,5.37359,4632.312888579805
1494,2023-02-03,5.2348,4512.668720378288
1495,2023-02-04,6.58356,5675.369695257447
1496,2023-02-05,7.73802,6670.574006965233
1497,2023-02-06,6.2265,5367.565482432072
1498,2023-02-07,6.01831,5188.094919870836
1499,2023-02-08,6.13187,5285.989521362041
1500,2023-02-09,5.742,4949.901389243549
1501,2023-02-10,6.2164,5358.8587593336115
1502,2023-02-11,7.38095,6362.76117362194
1503,2023-02-12,8.76126,7552.659882536387
1504,2023-02-13,7.09581,6116.955725671938
1505,2023-02-14,6.64917,5731.928913325763
1506,2023-02-15,6.3514,5475.235751243727
1507,2023-02-16,6.2429,5381.703131819671
1508,2023-02-17,6.06247,5226.163127002324
1509,2023-02-18,7.67367,6615.100974154745
1510,2023-02-19,8.78144,7570.05608769747
1511,2023-02-20,6.63907,5723.222190227302
1512,2023-02-21,6.38547,5504.605855794672
1513,2023-02-22,6.18864,5334.928201589724
1514,2023-02-23,6.35645,5479.589112792956
1515,2023-02-24,6.27949,5413.245606886272
1516,2023-02-25,7.85914,6774.985720003404
1517,2023-02-26,8.5985,7412.352332882385
1518,2023-02-27,7.00875,6041.905496666793
1519,2023-02-28,7.38979,6370.381711462572
1520,2023-03-01,9.07037,7819.1287119388735
1521,2023-03-02,6.34131,5466.537648663185
1522,2023-03-03,6.01201,5182.663993581698
1523,2023-03-04,8.80542,7590.728089667874
1524,2023-03-05,9.72393,8382.531281070536
1525,2023-03-06,7.58661,6540.0507451496
1526,2023-03-07,7.43394,6408.441298076139
1527,2023-03-08,7.93484,6840.243040652262
1528,2023-03-09,6.67314,5752.592294778247
1529,2023-03-10,6.13691,5290.334262393352
1530,2023-03-11,7.84147,6759.753264840058
1531,2023-03-12,9.02369,7778.888134291731
1532,2023-03-13,6.56085,5655.79249906279
1533,2023-03-14,7.06048,6086.499435863165
1534,2023-03-15,6.39178,5510.04540260173
1535,2023-03-16,6.07383,5235.956035358611
1536,2023-03-17,5.90729,5092.389929931126
1537,2023-03-18,7.55002,6508.508270082999
1538,2023-03-19,9.01486,7771.276216969019
1539,2023-03-20,6.60753,5696.033076709931
1540,2023-03-21,6.7337,5804.798151297333
1541,2023-03-22,6.77534,5840.693987913164
1542,2023-03-23,6.9974,6032.121208828424
1543,2023-03-24,6.63529,5719.963634453819
1544,2023-03-25,8.0383,6929.430919045005
1545,2023-03-26,9.15743,7894.178940944018
1546,2023-03-27,6.84347,5899.425576497135
1547,2023-03-28,6.26561,5401.280328014328
1548,2023-03-29,6.10285,5260.972778360327
1549,2023-03-30,5.80383,5003.202051538381
1550,2023-03-31,5.98551,5159.8196210956385
1551,2023-04-01,7.04913,6076.715148024796
1552,2023-04-02,8.2427,7105.634305314838
1553,2023-04-03,7.02515,6056.043146054392
